Wops,Nops,Wera,Nera
.822,.651,8.02,2.80
.885,.687,7.53,3.67
.850,.682,7.14,3.29
.824,.731,6.00,3.41
.793,.719,5.71,3.25
.793,.728,5.67,3.30
.812,.725,5.56,3.60
.772,.689,4.14,3.94
.768,.685,4.13,3.90
.762,.691,4.15,3.86
.776,.735,4.36,4.60
.775,.734,4.34,4.59
.775,.731,4.32,4.59
.761,.722,4.28,4.62
.760,.721,4.26,4.62
.760,.722,4.27,4.61
.758,.716,4.27,4.61
.759,.718,4.27,4.62
.757,.718,4.25,4.60
.788,.658,4.13,4.55
.786,.667,4.21,4.56
.778,.662,4.18,4.49
.774,.649,4.11,4.58
.778,.649,4.09,4.63
.777,.651,4.05,4.62
.780,.661,4.35,4.71
.778,.662,4.38,4.70
.775,.659,4.34,4.68
.772,.659,4.27,4.63
.772,.663,4.29,4.61
.771,.662,4.27,4.58
.769,.667,4.34,4.57
.774,.706,4.37,4.36
.777,.711,4.41,4.39
.778,.713,4.44,4.39
.779,.712,4.42,4.41
.771,.712,4.40,4.45
.770,.710,4.38,4.44
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.803,.674,4.72,3.02
.791,.669,4.56,2.97
.807,.676,4.46,3.29
.807,.662,4.29,3.36
.786,.680,4.25,4.26
.779,.687,4.29,4.21
.784,.681,4.22,4.36
.822,.651,8.02,2.80
.885,.687,7.53,3.67
.850,.682,7.14,3.29
.824,.731,6.00,3.41
.793,.719,5.71,3.25
.793,.728,5.67,3.30
.812,.725,5.56,3.60
.772,.689,4.14,3.94
.768,.685,4.13,3.90
.762,.691,4.15,3.86
.776,.735,4.36,4.60
.775,.734,4.34,4.59
.775,.731,4.32,4.59
.761,.722,4.28,4.62
.760,.721,4.26,4.62
.760,.722,4.27,4.61
.758,.716,4.27,4.61
.759,.718,4.27,4.62
.757,.718,4.25,4.60
.788,.658,4.13,4.55
.786,.667,4.21,4.56
.778,.662,4.18,4.49
.774,.649,4.11,4.58
.778,.649,4.09,4.63
.777,.651,4.05,4.62
.780,.661,4.35,4.71
.778,.662,4.38,4.70
.775,.659,4.34,4.68
.772,.659,4.27,4.63
.772,.663,4.29,4.61
.771,.662,4.27,4.58
.769,.667,4.34,4.57
.774,.706,4.37,4.36
.777,.711,4.41,4.39
.778,.713,4.44,4.39
.779,.712,4.42,4.41
.771,.712,4.40,4.45
.770,.710,4.38,4.44
.770,.717,4.23,4.14
.768,.717,4.20,4.12
.766,.717,4.21,4.09
.761,.737,4.30,3.80
.759,.735,4.26,3.77
.759,.735,4.27,3.77
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.803,.674,4.72,3.02
.791,.669,4.56,2.97
.807,.676,4.46,3.29
.807,.662,4.29,3.36
.786,.680,4.25,4.26
.779,.687,4.29,4.21
.784,.681,4.22,4.36
.822,.651,8.02,2.80
.885,.687,7.53,3.67
.850,.682,7.14,3.29
.824,.731,6.00,3.41
.793,.719,5.71,3.25
.793,.728,5.67,3.30
.812,.725,5.56,3.60
.772,.689,4.14,3.94
.768,.685,4.13,3.90
.762,.691,4.15,3.86
.776,.735,4.36,4.60
.775,.734,4.34,4.59
.775,.731,4.32,4.59
.761,.722,4.28,4.62
.760,.721,4.26,4.62
.760,.722,4.27,4.61
.758,.716,4.27,4.61
.759,.718,4.27,4.62
.757,.718,4.25,4.60
.788,.658,4.13,4.55
.786,.667,4.21,4.56
.778,.662,4.18,4.49
.774,.649,4.11,4.58
.778,.649,4.09,4.63
.777,.651,4.05,4.62
.780,.661,4.35,4.71
.778,.662,4.38,4.70
.775,.659,4.34,4.68
.772,.659,4.27,4.63
.772,.663,4.29,4.61
.771,.662,4.27,4.58
.769,.667,4.34,4.57
.774,.706,4.37,4.36
.777,.711,4.41,4.39
.778,.713,4.44,4.39
.779,.712,4.42,4.41
.771,.712,4.40,4.45
.770,.710,4.38,4.44
.770,.717,4.23,4.14
.768,.717,4.20,4.12
.766,.717,4.21,4.09
.761,.737,4.30,3.80
.759,.735,4.26,3.77
.759,.735,4.27,3.77
.790,.773,4.47,2.90
.788,.777,4.53,2.91
.780,.768,4.38,2.87
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.803,.674,4.72,3.02
.791,.669,4.56,2.97
.807,.676,4.46,3.29
.807,.662,4.29,3.36
.786,.680,4.25,4.26
.779,.687,4.29,4.21
.784,.681,4.22,4.36
.822,.651,8.02,2.80
.885,.687,7.53,3.67
.850,.682,7.14,3.29
.824,.731,6.00,3.41
.793,.719,5.71,3.25
.793,.728,5.67,3.30
.812,.725,5.56,3.60
.772,.689,4.14,3.94
.768,.685,4.13,3.90
.762,.691,4.15,3.86
.776,.735,4.36,4.60
.775,.734,4.34,4.59
.775,.731,4.32,4.59
.761,.722,4.28,4.62
.760,.721,4.26,4.62
.760,.722,4.27,4.61
.758,.716,4.27,4.61
.759,.718,4.27,4.62
.757,.718,4.25,4.60
.788,.658,4.13,4.55
.786,.667,4.21,4.56
.778,.662,4.18,4.49
.774,.649,4.11,4.58
.778,.649,4.09,4.63
.777,.651,4.05,4.62
.780,.661,4.35,4.71
.778,.662,4.38,4.70
.775,.659,4.34,4.68
.772,.659,4.27,4.63
.772,.663,4.29,4.61
.771,.662,4.27,4.58
.769,.667,4.34,4.57
.774,.706,4.37,4.36
.777,.711,4.41,4.39
.778,.713,4.44,4.39
.779,.712,4.42,4.41
.771,.712,4.40,4.45
.770,.710,4.38,4.44
.770,.717,4.23,4.14
.768,.717,4.20,4.12
.766,.717,4.21,4.09
.761,.737,4.30,3.80
.759,.735,4.26,3.77
.759,.735,4.27,3.77
.790,.773,4.47,2.90
.788,.777,4.53,2.91
.780,.768,4.38,2.87
.864,.748,6.00,5.38
.838,.739,5.92,5.09
.766,.770,4.19,4.89
.775,.770,4.19,5.03
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.803,.674,4.72,3.02
.791,.669,4.56,2.97
.807,.676,4.46,3.29
.807,.662,4.29,3.36
.786,.680,4.25,4.26
.779,.687,4.29,4.21
.784,.681,4.22,4.36
.822,.651,8.02,2.80
.885,.687,7.53,3.67
.850,.682,7.14,3.29
.824,.731,6.00,3.41
.793,.719,5.71,3.25
.793,.728,5.67,3.30
.812,.725,5.56,3.60
.772,.689,4.14,3.94
.768,.685,4.13,3.90
.762,.691,4.15,3.86
.776,.735,4.36,4.60
.775,.734,4.34,4.59
.775,.731,4.32,4.59
.761,.722,4.28,4.62
.760,.721,4.26,4.62
.760,.722,4.27,4.61
.758,.716,4.27,4.61
.759,.718,4.27,4.62
.757,.718,4.25,4.60
.788,.658,4.13,4.55
.786,.667,4.21,4.56
.778,.662,4.18,4.49
.774,.649,4.11,4.58
.778,.649,4.09,4.63
.777,.651,4.05,4.62
.780,.661,4.35,4.71
.778,.662,4.38,4.70
.775,.659,4.34,4.68
.772,.659,4.27,4.63
.772,.663,4.29,4.61
.771,.662,4.27,4.58
.769,.667,4.34,4.57
.774,.706,4.37,4.36
.777,.711,4.41,4.39
.778,.713,4.44,4.39
.779,.712,4.42,4.41
.771,.712,4.40,4.45
.770,.710,4.38,4.44
.770,.717,4.23,4.14
.768,.717,4.20,4.12
.766,.717,4.21,4.09
.761,.737,4.30,3.80
.759,.735,4.26,3.77
.759,.735,4.27,3.77
.790,.773,4.47,2.90
.788,.777,4.53,2.91
.780,.768,4.38,2.87
.864,.748,6.00,5.38
.838,.739,5.92,5.09
.766,.770,4.19,4.89
.775,.770,4.19,5.03
.768,.665,4.11,4.52
.769,.662,4.05,4.54
.771,.662,4.01,4.59
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.803,.674,4.72,3.02
.791,.669,4.56,2.97
.807,.676,4.46,3.29
.807,.662,4.29,3.36
.786,.680,4.25,4.26
.779,.687,4.29,4.21
.784,.681,4.22,4.36
.822,.651,8.02,2.80
.885,.687,7.53,3.67
.850,.682,7.14,3.29
.824,.731,6.00,3.41
.793,.719,5.71,3.25
.793,.728,5.67,3.30
.812,.725,5.56,3.60
.772,.689,4.14,3.94
.768,.685,4.13,3.90
.762,.691,4.15,3.86
.776,.735,4.36,4.60
.775,.734,4.34,4.59
.775,.731,4.32,4.59
.761,.722,4.28,4.62
.760,.721,4.26,4.62
.760,.722,4.27,4.61
.758,.716,4.27,4.61
.759,.718,4.27,4.62
.757,.718,4.25,4.60
.788,.658,4.13,4.55
.786,.667,4.21,4.56
.778,.662,4.18,4.49
.774,.649,4.11,4.58
.778,.649,4.09,4.63
.777,.651,4.05,4.62
.780,.661,4.35,4.71
.778,.662,4.38,4.70
.775,.659,4.34,4.68
.772,.659,4.27,4.63
.772,.663,4.29,4.61
.771,.662,4.27,4.58
.769,.667,4.34,4.57
.774,.706,4.37,4.36
.777,.711,4.41,4.39
.778,.713,4.44,4.39
.779,.712,4.42,4.41
.771,.712,4.40,4.45
.770,.710,4.38,4.44
.770,.717,4.23,4.14
.768,.717,4.20,4.12
.766,.717,4.21,4.09
.761,.737,4.30,3.80
.759,.735,4.26,3.77
.759,.735,4.27,3.77
.790,.773,4.47,2.90
.788,.777,4.53,2.91
.780,.768,4.38,2.87
.864,.748,6.00,5.38
.838,.739,5.92,5.09
.766,.770,4.19,4.89
.775,.770,4.19,5.03
.768,.665,4.11,4.52
.769,.662,4.05,4.54
.771,.662,4.01,4.59
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.803,.674,4.72,3.02
.791,.669,4.56,2.97
.807,.676,4.46,3.29
.807,.662,4.29,3.36
.786,.680,4.25,4.26
.779,.687,4.29,4.21
.784,.681,4.22,4.36
.822,.651,8.02,2.80
.885,.687,7.53,3.67
.850,.682,7.14,3.29
.824,.731,6.00,3.41
.793,.719,5.71,3.25
.793,.728,5.67,3.30
.812,.725,5.56,3.60
.772,.689,4.14,3.94
.768,.685,4.13,3.90
.762,.691,4.15,3.86
.776,.735,4.36,4.60
.775,.734,4.34,4.59
.775,.731,4.32,4.59
.761,.722,4.28,4.62
.760,.721,4.26,4.62
.760,.722,4.27,4.61
.758,.716,4.27,4.61
.759,.718,4.27,4.62
.757,.718,4.25,4.60
.788,.658,4.13,4.55
.786,.667,4.21,4.56
.778,.662,4.18,4.49
.774,.649,4.11,4.58
.778,.649,4.09,4.63
.777,.651,4.05,4.62
.780,.661,4.35,4.71
.778,.662,4.38,4.70
.775,.659,4.34,4.68
.772,.659,4.27,4.63
.772,.663,4.29,4.61
.771,.662,4.27,4.58
.769,.667,4.34,4.57
.774,.706,4.37,4.36
.777,.711,4.41,4.39
.778,.713,4.44,4.39
.779,.712,4.42,4.41
.771,.712,4.40,4.45
.770,.710,4.38,4.44
.770,.717,4.23,4.14
.768,.717,4.20,4.12
.766,.717,4.21,4.09
.761,.737,4.30,3.80
.759,.735,4.26,3.77
.759,.735,4.27,3.77
.790,.773,4.47,2.90
.788,.777,4.53,2.91
.780,.768,4.38,2.87
.864,.748,6.00,5.38
.838,.739,5.92,5.09
.766,.770,4.19,4.89
.775,.770,4.19,5.03
.768,.665,4.11,4.52
.769,.662,4.05,4.54
.771,.662,4.01,4.59
.782,.744,4.07,4.30
.780,.747,4.11,4.30
.776,.741,4.05,4.26
.773,.743,4.34,4.58
.776,.744,4.33,4.61
.776,.743,4.30,4.62
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.803,.674,4.72,3.02
.791,.669,4.56,2.97
.807,.676,4.46,3.29
.807,.662,4.29,3.36
.786,.680,4.25,4.26
.779,.687,4.29,4.21
.784,.681,4.22,4.36
.822,.651,8.02,2.80
.885,.687,7.53,3.67
.850,.682,7.14,3.29
.824,.731,6.00,3.41
.793,.719,5.71,3.25
.793,.728,5.67,3.30
.812,.725,5.56,3.60
.772,.689,4.14,3.94
.768,.685,4.13,3.90
.762,.691,4.15,3.86
.776,.735,4.36,4.60
.775,.734,4.34,4.59
.775,.731,4.32,4.59
.761,.722,4.28,4.62
.760,.721,4.26,4.62
.760,.722,4.27,4.61
.758,.716,4.27,4.61
.759,.718,4.27,4.62
.757,.718,4.25,4.60
.788,.658,4.13,4.55
.786,.667,4.21,4.56
.778,.662,4.18,4.49
.774,.649,4.11,4.58
.778,.649,4.09,4.63
.777,.651,4.05,4.62
.780,.661,4.35,4.71
.778,.662,4.38,4.70
.775,.659,4.34,4.68
.772,.659,4.27,4.63
.772,.663,4.29,4.61
.771,.662,4.27,4.58
.769,.667,4.34,4.57
.774,.706,4.37,4.36
.777,.711,4.41,4.39
.778,.713,4.44,4.39
.779,.712,4.42,4.41
.771,.712,4.40,4.45
.770,.710,4.38,4.44
.770,.717,4.23,4.14
.768,.717,4.20,4.12
.766,.717,4.21,4.09
.761,.737,4.30,3.80
.759,.735,4.26,3.77
.759,.735,4.27,3.77
.790,.773,4.47,2.90
.788,.777,4.53,2.91
.780,.768,4.38,2.87
.864,.748,6.00,5.38
.838,.739,5.92,5.09
.766,.770,4.19,4.89
.775,.770,4.19,5.03
.768,.665,4.11,4.52
.769,.662,4.05,4.54
.771,.662,4.01,4.59
.782,.744,4.07,4.30
.780,.747,4.11,4.30
.776,.741,4.05,4.26
.773,.743,4.34,4.58
.776,.744,4.33,4.61
.776,.743,4.30,4.62
.822,.841,5.59,4.72
.804,.821,5.36,4.53
.803,.807,5.13,4.44
.784,.771,4.31,4.51
.776,.768,4.25,4.42
.775,.773,4.29,4.41
.777,.773,4.31,4.38
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.803,.674,4.72,3.02
.791,.669,4.56,2.97
.807,.676,4.46,3.29
.807,.662,4.29,3.36
.786,.680,4.25,4.26
.779,.687,4.29,4.21
.784,.681,4.22,4.36
.822,.651,8.02,2.80
.885,.687,7.53,3.67
.850,.682,7.14,3.29
.824,.731,6.00,3.41
.793,.719,5.71,3.25
.793,.728,5.67,3.30
.812,.725,5.56,3.60
.772,.689,4.14,3.94
.768,.685,4.13,3.90
.762,.691,4.15,3.86
.776,.735,4.36,4.60
.775,.734,4.34,4.59
.775,.731,4.32,4.59
.761,.722,4.28,4.62
.760,.721,4.26,4.62
.760,.722,4.27,4.61
.758,.716,4.27,4.61
.759,.718,4.27,4.62
.757,.718,4.25,4.60
.788,.658,4.13,4.55
.786,.667,4.21,4.56
.778,.662,4.18,4.49
.774,.649,4.11,4.58
.778,.649,4.09,4.63
.777,.651,4.05,4.62
.780,.661,4.35,4.71
.778,.662,4.38,4.70
.775,.659,4.34,4.68
.772,.659,4.27,4.63
.772,.663,4.29,4.61
.771,.662,4.27,4.58
.769,.667,4.34,4.57
.774,.706,4.37,4.36
.777,.711,4.41,4.39
.778,.713,4.44,4.39
.779,.712,4.42,4.41
.771,.712,4.40,4.45
.770,.710,4.38,4.44
.770,.717,4.23,4.14
.768,.717,4.20,4.12
.766,.717,4.21,4.09
.761,.737,4.30,3.80
.759,.735,4.26,3.77
.759,.735,4.27,3.77
.790,.773,4.47,2.90
.788,.777,4.53,2.91
.780,.768,4.38,2.87
.864,.748,6.00,5.38
.838,.739,5.92,5.09
.766,.770,4.19,4.89
.775,.770,4.19,5.03
.768,.665,4.11,4.52
.769,.662,4.05,4.54
.771,.662,4.01,4.59
.782,.744,4.07,4.30
.780,.747,4.11,4.30
.776,.741,4.05,4.26
.773,.743,4.34,4.58
.776,.744,4.33,4.61
.776,.743,4.30,4.62
.822,.841,5.59,4.72
.804,.821,5.36,4.53
.803,.807,5.13,4.44
.784,.771,4.31,4.51
.776,.768,4.25,4.42
.775,.773,4.29,4.41
.777,.773,4.31,4.38
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.803,.674,4.72,3.02
.791,.669,4.56,2.97
.807,.676,4.46,3.29
.807,.662,4.29,3.36
.786,.680,4.25,4.26
.779,.687,4.29,4.21
.784,.681,4.22,4.36
.822,.651,8.02,2.80
.885,.687,7.53,3.67
.850,.682,7.14,3.29
.824,.731,6.00,3.41
.793,.719,5.71,3.25
.793,.728,5.67,3.30
.812,.725,5.56,3.60
.772,.689,4.14,3.94
.768,.685,4.13,3.90
.762,.691,4.15,3.86
.776,.735,4.36,4.60
.775,.734,4.34,4.59
.775,.731,4.32,4.59
.761,.722,4.28,4.62
.760,.721,4.26,4.62
.760,.722,4.27,4.61
.758,.716,4.27,4.61
.759,.718,4.27,4.62
.757,.718,4.25,4.60
.788,.658,4.13,4.55
.786,.667,4.21,4.56
.778,.662,4.18,4.49
.774,.649,4.11,4.58
.778,.649,4.09,4.63
.777,.651,4.05,4.62
.780,.661,4.35,4.71
.778,.662,4.38,4.70
.775,.659,4.34,4.68
.772,.659,4.27,4.63
.772,.663,4.29,4.61
.771,.662,4.27,4.58
.769,.667,4.34,4.57
.774,.706,4.37,4.36
.777,.711,4.41,4.39
.778,.713,4.44,4.39
.779,.712,4.42,4.41
.771,.712,4.40,4.45
.770,.710,4.38,4.44
.770,.717,4.23,4.14
.768,.717,4.20,4.12
.766,.717,4.21,4.09
.761,.737,4.30,3.80
.759,.735,4.26,3.77
.759,.735,4.27,3.77
.790,.773,4.47,2.90
.788,.777,4.53,2.91
.780,.768,4.38,2.87
.864,.748,6.00,5.38
.838,.739,5.92,5.09
.766,.770,4.19,4.89
.775,.770,4.19,5.03
.768,.665,4.11,4.52
.769,.662,4.05,4.54
.771,.662,4.01,4.59
.782,.744,4.07,4.30
.780,.747,4.11,4.30
.776,.741,4.05,4.26
.773,.743,4.34,4.58
.776,.744,4.33,4.61
.776,.743,4.30,4.62
.822,.841,5.59,4.72
.804,.821,5.36,4.53
.803,.807,5.13,4.44
.784,.771,4.31,4.51
.776,.768,4.25,4.42
.775,.773,4.29,4.41
.777,.773,4.31,4.38
.773,.653,4.27,4.31
.773,.654,4.25,4.36
.770,.656,4.25,4.33
.770,.658,4.32,4.34
.760,.665,4.27,4.72
.762,.669,4.32,4.73
.762,.670,4.31,4.73
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.803,.674,4.72,3.02
.791,.669,4.56,2.97
.807,.676,4.46,3.29
.807,.662,4.29,3.36
.786,.680,4.25,4.26
.779,.687,4.29,4.21
.784,.681,4.22,4.36
.822,.651,8.02,2.80
.885,.687,7.53,3.67
.850,.682,7.14,3.29
.824,.731,6.00,3.41
.793,.719,5.71,3.25
.793,.728,5.67,3.30
.812,.725,5.56,3.60
.772,.689,4.14,3.94
.768,.685,4.13,3.90
.762,.691,4.15,3.86
.776,.735,4.36,4.60
.775,.734,4.34,4.59
.775,.731,4.32,4.59
.761,.722,4.28,4.62
.760,.721,4.26,4.62
.760,.722,4.27,4.61
.758,.716,4.27,4.61
.759,.718,4.27,4.62
.757,.718,4.25,4.60
.788,.658,4.13,4.55
.786,.667,4.21,4.56
.778,.662,4.18,4.49
.774,.649,4.11,4.58
.778,.649,4.09,4.63
.777,.651,4.05,4.62
.780,.661,4.35,4.71
.778,.662,4.38,4.70
.775,.659,4.34,4.68
.772,.659,4.27,4.63
.772,.663,4.29,4.61
.771,.662,4.27,4.58
.769,.667,4.34,4.57
.774,.706,4.37,4.36
.777,.711,4.41,4.39
.778,.713,4.44,4.39
.779,.712,4.42,4.41
.771,.712,4.40,4.45
.770,.710,4.38,4.44
.770,.717,4.23,4.14
.768,.717,4.20,4.12
.766,.717,4.21,4.09
.761,.737,4.30,3.80
.759,.735,4.26,3.77
.759,.735,4.27,3.77
.790,.773,4.47,2.90
.788,.777,4.53,2.91
.780,.768,4.38,2.87
.864,.748,6.00,5.38
.838,.739,5.92,5.09
.766,.770,4.19,4.89
.775,.770,4.19,5.03
.768,.665,4.11,4.52
.769,.662,4.05,4.54
.771,.662,4.01,4.59
.782,.744,4.07,4.30
.780,.747,4.11,4.30
.776,.741,4.05,4.26
.773,.743,4.34,4.58
.776,.744,4.33,4.61
.776,.743,4.30,4.62
.822,.841,5.59,4.72
.804,.821,5.36,4.53
.803,.807,5.13,4.44
.784,.771,4.31,4.51
.776,.768,4.25,4.42
.775,.773,4.29,4.41
.777,.773,4.31,4.38
.773,.653,4.27,4.31
.773,.654,4.25,4.36
.770,.656,4.25,4.33
.770,.658,4.32,4.34
.760,.665,4.27,4.72
.762,.669,4.32,4.73
.762,.670,4.31,4.73
